DATE,PRCP,SNWD,SNOW,TMAX,TMIN
7/21/14,0,0,0,294,194
7/22/14,0,0,0,300,217
7/23/14,48,0,0,311,222
7/24/14,0,0,0,267,211
7/25/14,0,0,0,278,189
7/26/14,0,0,0,272,206
7/27/14,5,0,0,294,217
7/28/14,48,0,0,278,200
7/29/14,0,0,0,244,178
7/30/14,0,0,0,267,172
7/31/14,0,0,0,278,200
8/1/14,0,0,0,289,217
8/2/14,104,0,0,233,172
8/3/14,18,0,0,244,189
8/4/14,0,0,0,289,211
8/5/14,0,0,0,322,217
8/6/14,0,0,0,283,211
8/7/14,0,0,0,283,189
8/8/14,0,0,0,283,183
8/9/14,0,0,0,306,189
8/10/14,0,0,0,311,200
8/11/14,0,0,0,306,217
8/12/14,48,0,0,261,211
8/13/14,135,0,0,278,200
8/14/14,0,0,0,250,172
8/15/14,0,0,0,228,161
8/16/14,0,0,0,256,172
8/17/14,3,0,0,278,189
8/18/14,0,0,0,272,172
8/19/14,0,0,0,283,172
8/20/14,0,0,0,289,211
8/21/14,89,0,0,283,183
8/22/14,15,0,0,261,183
8/23/14,3,0,0,250,194
8/24/14,0,0,0,267,178
8/25/14,0,0,0,311,178
8/26/14,0,0,0,317,211
8/27/14,0,0,0,322,211
8/28/14,0,0,0,278,189
8/29/14,0,0,0,267,161
8/30/14,0,0,0,267,183
8/31/14,157,0,0,322,228
9/1/14,0,0,0,311,239
9/2/14,0,0,0,333,250
9/3/14,0,0,0,300,222
9/4/14,0,0,0,306,206
9/5/14,0,0,0,306,222
9/6/14,28,0,0,328,194
9/7/14,0,0,0,272,183
9/8/14,0,0,0,239,183
9/9/14,0,0,0,228,172
9/10/14,0,0,0,267,172
9/11/14,0,0,0,283,206
9/12/14,0,0,0,256,167
9/13/14,66,0,0,206,144
9/14/14,0,0,0,217,117
9/15/14,0,0,0,217,128
9/16/14,94,0,0,211,144
9/17/14,0,0,0,228,128
9/18/14,0,0,0,244,139
9/19/14,0,0,0,189,122
9/20/14,0,0,0,239,139
9/21/14,38,0,0,239,194
9/22/14,0,0,0,217,128
9/23/14,0,0,0,217,111
9/24/14,0,0,0,217,144
9/25/14,81,0,0,178,139
9/26/14,0,0,0,250,144
9/27/14,0,0,0,283,156
9/28/14,0,0,0,289,178
9/29/14,0,0,0,261,194
9/30/14,0,0,0,217,167
10/1/14,5,0,0,183,161
10/2/14,0,0,0,211,161
10/3/14,0,0,0,217,133
10/4/14,300,0,0,206,111
10/5/14,0,0,0,161,78
10/6/14,0,0,0,206,100
10/7/14,15,0,0,217,172
10/8/14,10,0,0,228,167
10/9/14,0,0,0,200,128
10/10/14,0,0,0,178,111
10/11/14,84,0,0,156,100
10/12/14,0,0,0,172,89
10/13/14,13,0,0,183,111
10/14/14,0,0,0,244,172
10/15/14,175,0,0,250,206
10/16/14,282,0,0,217,161
10/17/14,0,0,0,217,150
10/18/14,0,0,0,211,133
10/19/14,0,0,0,133,67
10/20/14,0,0,0,156,56
10/21/14,28,0,0,194,128
10/22/14,384,0,0,144,100
10/23/14,155,0,0,117,100
10/24/14,0,0,0,172,106
10/25/14,3,0,0,194,100
10/26/14,0,0,0,172,117
10/27/14,0,0,0,172,89
10/28/14,0,0,0,222,117
10/29/14,0,0,0,222,106
10/30/14,0,0,0,150,83
10/31/14,13,0,0,128,72
11/1/14,89,0,0,83,56
11/2/14,0,0,0,89,50
11/3/14,0,0,0,161,39
11/4/14,0,0,0,200,117
11/5/14,0,0,0,178,133
11/6/14,94,0,0,139,89
11/7/14,0,0,0,117,44
11/8/14,0,0,0,89,22
11/9/14,0,0,0,139,78
11/10/14,0,0,0,161,67
11/11/14,0,0,0,178,94
11/12/14,0,0,0,183,83
11/13/14,51,0,0,89,22
11/14/14,15,0,0,56,17
11/15/14,0,0,0,56,6
11/16/14,8,0,0,72,17
11/17/14,391,0,0,111,44
11/18/14,0,0,0,72,-43
11/19/14,0,0,0,22,-55
11/20/14,0,0,0,72,-5
11/21/14,0,0,0,28,-21
11/22/14,0,0,0,67,-21
11/23/14,0,0,0,139,61
11/24/14,178,0,0,206,117
11/25/14,0,0,0,200,106
11/26/14,315,0,5,106,11
11/27/14,5,0,0,33,11
11/28/14,0,0,0,28,-16
11/29/14,0,0,0,72,-27
11/30/14,0,0,0,128,72
12/1/14,23,0,0,183,56
12/2/14,20,0,0,61,17
12/3/14,15,0,0,78,50
12/4/14,0,0,0,72,28
12/5/14,130,0,0,67,11
12/6/14,310,0,0,100,39
12/7/14,10,0,0,56,-10
12/8/14,0,0,0,28,-43
12/9/14,645,0,0,56,22
12/10/14,20,0,25,44,0
12/11/14,3,30,0,33,-5
12/12/14,0,0,0,33,0
12/13/14,0,0,0,67,11
12/14/14,0,0,0,78,33
12/15/14,0,0,0,89,28
12/16/14,51,0,0,94,33
12/17/14,5,0,0,122,56
12/18/14,0,0,0,56,28
12/19/14,0,0,0,33,-5
12/20/14,0,0,0,6,-10
12/21/14,0,0,0,22,-5
12/22/14,10,0,0,67,17
12/23/14,41,0,0,78,61
12/24/14,203,0,0,144,67
12/25/14,23,0,0,167,67
12/26/14,0,0,0,100,44
12/27/14,0,0,0,128,67
12/28/14,25,0,0,122,61
12/29/14,0,0,0,67,11
12/30/14,0,0,0,11,-21
12/31/14,0,0,0,0,-27
1/1/15,0,0,0,39,-27
1/2/15,0,0,0,56,17
1/3/15,180,0,0,56,6
1/4/15,76,0,0,133,50
1/5/15,0,0,0,94,-60
1/6/15,13,0,25,-55,-71
1/7/15,0,30,0,-49,-127
1/8/15,0,0,0,-60,-132
1/9/15,18,0,38,6,-71
1/10/15,0,30,0,-49,-88
1/11/15,0,30,0,28,-77
1/12/15,91,0,0,39,17
1/13/15,0,0,0,22,-82
1/14/15,0,0,0,0,-88
1/15/15,0,0,0,17,-38
1/16/15,0,0,0,61,-66
1/17/15,0,0,0,0,-82
1/18/15,533,0,0,56,-5
1/19/15,0,0,0,56,22
1/20/15,0,0,0,44,0
1/21/15,0,0,0,22,-38
1/22/15,0,0,0,44,-5
1/23/15,0,0,0,39,-21
1/24/15,183,80,91,39,6
1/25/15,0,50,0,56,-5
1/26/15,122,50,140,-5,-55
1/27/15,91,200,109,-10,-66
1/28/15,0,200,0,11,-88
1/29/15,5,150,0,22,-71
1/30/15,15,180,25,33,-71
1/31/15,0,180,0,-32,-105
2/1/15,8,150,8,22,-66
2/2/15,259,180,127,11,-99
2/3/15,0,200,0,-32,-105
2/4/15,0,200,0,61,-43
2/5/15,0,200,0,56,-99
2/6/15,0,200,0,-27,-110
2/7/15,5,200,0,44,-38
2/8/15,0,200,0,28,-16
2/9/15,23,200,0,-16,-38
2/10/15,3,200,3,44,-32
2/11/15,0,200,0,11,-55
2/12/15,0,200,0,44,-88
2/13/15,0,200,0,-60,-132
2/14/15,5,200,23,0,-88
2/15/15,0,230,0,-38,-155
2/16/15,0,230,0,-60,-160
2/17/15,36,300,84,-27,-99
2/18/15,0,230,0,6,-71
2/19/15,0,230,0,-27,-132
2/20/15,0,230,0,-71,-166
2/21/15,155,230,76,0,-105
2/22/15,25,330,25,61,0
2/23/15,0,300,0,33,-132
2/24/15,0,300,0,-43,-155
2/25/15,0,300,0,28,-66
2/26/15,0,280,0,0,-60
2/27/15,0,280,0,-10,-77
2/28/15,0,280,0,-16,-105
3/1/15,132,250,122,-5,-43
3/2/15,0,380,0,39,-27
3/3/15,170,360,46,28,-55
3/4/15,64,330,0,72,17
3/5/15,193,330,191,44,-71
3/6/15,0,480,0,-27,-110
3/7/15,0,460,0,33,-77
3/8/15,0,410,0,94,28
3/9/15,3,330,0,122,44
3/10/15,117,280,0,117,39
3/11/15,3,150,0,150,67
3/12/15,0,100,0,83,22
3/13/15,0,50,0,61,-5
3/14/15,206,30,0,106,44
3/15/15,0,0,0,67,22
3/16/15,0,0,0,111,17
3/17/15,5,0,0,139,11
3/18/15,0,0,0,39,-16
3/19/15,0,0,0,61,-16
3/20/15,102,0,114,33,-16
3/21/15,0,130,0,83,-16
3/22/15,0,0,0,61,-21
3/23/15,0,0,0,33,-49
3/24/15,0,0,0,72,-32
3/25/15,13,0,0,94,11
3/26/15,81,0,0,167,56
3/27/15,69,0,0,78,39
3/28/15,0,0,0,44,-32
3/29/15,0,0,0,78,-38
3/30/15,0,0,0,122,22
3/31/15,43,0,0,83,17
4/1/15,0,0,0,106,0
4/2/15,0,0,0,194,50
4/3/15,10,0,0,178,150
4/4/15,3,0,0,156,56
4/5/15,0,0,0,161,56
4/6/15,0,0,0,172,56
4/7/15,38,0,0,167,56
4/8/15,0,0,0,72,28
4/9/15,0,0,0,61,28
4/10/15,43,0,0,133,39
4/11/15,0,0,0,139,67
4/12/15,0,0,0,189,61
4/13/15,0,0,0,200,100
4/14/15,3,0,0,183,128
4/15/15,0,0,0,222,106
4/16/15,0,0,0,178,111
4/17/15,20,0,0,217,128
4/18/15,0,0,0,267,150
4/19/15,0,0,0,178,89
4/20/15,348,0,0,139,78
4/21/15,51,0,0,183,111
4/22/15,13,0,0,206,89
4/23/15,0,0,0,111,50
4/24/15,0,0,0,111,39
4/25/15,0,0,0,167,33
4/26/15,0,0,0,178,78
4/27/15,0,0,0,167,94
4/28/15,0,0,0,217,100
4/29/15,0,0,0,256,100
4/30/15,0,0,0,194,89
5/1/15,0,0,0,172,94
5/2/15,0,0,0,233,89
5/3/15,0,0,0,267,106
5/4/15,0,0,0,294,139
5/5/15,0,0,0,294,189
5/6/15,0,0,0,228,150
5/7/15,0,0,0,267,133
5/8/15,0,0,0,278,133
5/9/15,0,0,0,211,139
5/10/15,0,0,0,283,161
5/11/15,0,0,0,289,211
5/12/15,0,0,0,300,178
5/13/15,0,0,0,211,117
5/14/15,0,0,0,228,100
5/15/15,0,0,0,239,128
5/16/15,76,0,0,239,139
5/17/15,5,0,0,283,178
5/18/15,0,0,0,239,156
5/19/15,0,0,0,267,150
5/20/15,0,0,0,194,122
5/21/15,0,0,0,167,111
5/22/15,0,0,0,233,128
5/23/15,0,0,0,211,94
5/24/15,0,0,0,272,133
5/25/15,0,0,0,294,178
5/26/15,0,0,0,311,194
5/27/15,20,0,0,294,211
5/28/15,0,0,0,294,211
5/29/15,0,0,0,294,183
5/30/15,0,0,0,294,194
5/31/15,371,0,0,306,139
6/1/15,183,0,0,144,106
6/2/15,94,0,0,128,100
6/3/15,0,0,0,211,111
6/4/15,0,0,0,183,122
6/5/15,33,0,0,211,128
6/6/15,48,0,0,244,156
6/7/15,0,0,0,233,128
6/8/15,15,0,0,261,172
6/9/15,3,0,0,283,200
6/10/15,0,0,0,278,183
6/11/15,0,0,0,317,222
6/12/15,0,0,0,311,228
6/13/15,0,0,0,300,222
6/14/15,91,0,0,311,189
6/15/15,145,0,0,283,178
6/16/15,69,0,0,261,183
6/17/15,0,0,0,278,189
6/18/15,0,0,0,217,178
6/19/15,0,0,0,306,200
6/20/15,0,0,0,239,178
6/21/15,163,0,0,311,217
6/22/15,0,0,0,306,211
6/23/15,5,0,0,322,239
6/24/15,0,0,0,289,200
6/25/15,0,0,0,283,183
6/26/15,0,0,0,272,206
6/27/15,284,0,0,217,144
6/28/15,74,0,0,228,167
6/29/15,0,0,0,244,172
6/30/15,10,0,0,278,200
